filename,issue
0056b60ad09c4f389d107868e2d5c149,misaligned
0addb1f2074845baac94a439752e2a3f,misaligned
46b5fb38b6de490eabb322b8878de73e,misaligned
fe3aaeca6ee64724b22da3e74671744d,lyrics wrong language
fcd52beea36f43bbbd14d4e96f74692f,lyrics wrong language
209fdbae7b974b6d9b8b0f6b0f8ee874,bad quality transcription
2e70295946894f6583bf7019f663d645,bad quality transcription
341a91a8a917463994c5f65d0df9139c,bad quality transcription
6935192be29c460f8fa82d5258a9c9a9,bad quality transcription
73efd05a64cb42189cda332c08b1e5ad,bad quality transcription
78e60520c0fb43919be24e26e086b461,bad quality transcription
8a7f8883ea2e44aa837944d75ce5bf8d,bad quality transcription
aa6c255510834679b3386b918a7466b8,bad quality transcription
d1e07a45dd9f49969d270cd6a48d561b,low audio quality
1.      0a25b78b63494c1c882ffd0a09cdfbad,non-english audio
2.      fbefaf91d0f1456799f4ad94170b6c2b,non-english audio
3.      7476b3d7e6bb4c6c8ab76bf96ec3a552,non-english audio
4.      d61b08cdbf0e4efc851bd10171b4dac9,non-english audio
5.      ee721dc3f2d74dfb977e8afff25ba906,non-english audio
6.      dd0073a8355d492b95627c045d665a1b,non-english audio
7.      dc84b4a8c45645939041f5b499757912,non-english audio
8.      d4eb98d7f7334bacaa50a2f3c3b1b05a,non-english audio
9.      d229b715eec1405b8efb3c992d84b225,non-english audio
10.  d103fe29e7324d78a9f4cbf903f10691,non-english audio
11.  d0fee79b1d674ca69408fe4086a299bd,non-english audio
12.  cc51c83e35574d15b7b0df3dbf66416e,non-english audio
13.  c9fcef1d3ae8495e98d6619270d10703,non-english audio
14.  ae079c14465f439c9ba5be0f977009f2,non-english audio
15.  a10083fb8a334459bd5efb24f1efad5d,non-english audio
16.  9cea79c75c104a6e81f3ad937894e551,non-english audio
17.  9c426189da544b34ba69841637810c04,non-english audio
18.  9ba979931f0346468fdc69983cb5cc73,non-english audio
19.  90d45f9c57044ed7a79f7b63ff00dc45,non-english audio
20.  8b35d23f22f04d0798470a9d2952b63c,non-english audio
21.  8503890d84c64c669ba671476b70d249,non-english audio
22.  7ef45dc7a10b462492ece9b4f939cb71,non-english audio
23.  7bd51a7428a74f2ea6349753f3cc99f9,non-english audio
24.  752c98e592864d75b818347825aabc03,non-english audio
25.  7476b3d7e6bb4c6c8ab76bf96ec3a552,non-english audio
26.  5c8d5eb5bc4c4822833baa17771b904a,non-english audio
27.  5a145a4c6a7744b9b434073551a06bfe,non-english audio
28.  464b992d8bd04701ba95b932f07a5b26,non-english audio
29.  3c35d6f1fe4e4444b130ba1af0a3eaea,non-english audio
30.  3bb4b9f469754d1aba4b0d4f25bb2dcb,non-english audio
31.  1f155975d6134712a6477304c78be1d2,non-english audio
32.  1e7e968935b54981b7844cb2a052c0f5,non-english audio
33.  1e26b8d599ff4f56885f2edb4f1adf9b,non-english audio
34.  1507aabe112e42b5852187e20ee2d259,non-english audio
35.  13ed112a731640b3838fd0f34661075f,non-english audio
36.  120020aae6aa4ec9a117aa594691d56f,non-english audio
37.  120020aae6aa4ec9a117aa594691d56f,non-english audio
38.  0a25b78b63494c1c882ffd0a09cdfbad,non-english audio
